Application,Deployment,Load,Target service,Service,Backend,Requests,Fails,Median latency (ms),Average latency (ms),p95 latency (ms),p99 latency (ms),CPU (%),Memory (%),Service p50 latency (ms),Service p95 latency (ms),Service p99 latency (ms),Metric source,Data quality
GoB,IaaS only,productcatalogservice 200 users (browse-product),productcatalogservice,cartservice,iaas,56997,0,790.00,823.60,1200.00,1500.00,1.8433,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,productcatalogservice 200 users (browse-product),productcatalogservice,checkoutservice,iaas,56997,0,790.00,823.60,1200.00,1500.00,0.0005,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,productcatalogservice 200 users (browse-product),productcatalogservice,currencyservice,iaas,56997,0,790.00,823.60,1200.00,1500.00,22.8355,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,productcatalogservice 200 users (browse-product),productcatalogservice,emailservice,iaas,56997,0,790.00,823.60,1200.00,1500.00,0.4647,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,productcatalogservice 200 users (browse-product),productcatalogservice,paymentservice,iaas,56997,0,790.00,823.60,1200.00,1500.00,0.0116,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,productcatalogservice 200 users (browse-product),productcatalogservice,shippingservice,iaas,56997,0,790.00,823.60,1200.00,1500.00,0.0005,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,productcatalogservice 200 users (browse-product),productcatalogservice,adservice,iaas,56997,0,790.00,823.60,1200.00,1500.00,4.9794,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,productcatalogservice 200 users (browse-product),productcatalogservice,recommendationservice,iaas,56997,0,790.00,823.60,1200.00,1500.00,33.8156,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,productcatalogservice 200 users (browse-product),productcatalogservice,redis-cart,iaas,56997,0,790.00,823.60,1200.00,1500.00,4.0193,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,Hybrid,productcatalogservice 200 users (browse-product),productcatalogservice,frontend,iaas,44984,507,840.00,1101.85,2100.00,6200.00,38.9846,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,Hybrid,productcatalogservice 200 users (browse-product),productcatalogservice,productcatalogservice,iaas,44984,507,840.00,1101.85,2100.00,6200.00,14.7396,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,Hybrid,productcatalogservice 200 users (browse-product),productcatalogservice,cartservice,iaas,44984,507,840.00,1101.85,2100.00,6200.00,1.4437,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,Hybrid,productcatalogservice 200 users (browse-product),productcatalogservice,checkoutservice,iaas,44984,507,840.00,1101.85,2100.00,6200.00,0.0005,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,Hybrid,productcatalogservice 200 users (browse-product),productcatalogservice,currencyservice,iaas,44984,507,840.00,1101.85,2100.00,6200.00,48.4670,,429.01,1080.53,2258.20,prometheus:kubernetes|bridge|openfaas|controller,missing:mem_pct|error_count|error_pct
GoB,Hybrid,productcatalogservice 200 users (browse-product),productcatalogservice,emailservice,faas,44984,507,840.00,1101.85,2100.00,6200.00,0.0669,,,,,prometheus:kubernetes|bridge|openfaas|controller,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
